text,label
"Product received for freeI've played it about 20 hours, and I purchase the DLC pack too. Why I still cannot play poker in casino???",Positive
"Todd, you've done a great job, but Redfall might be better.",Positive
"XDD, 0 content, still a cool game, but 0 content lmao, xDDD no content ahaha xddxdxd, level up and then, LOGIN to PoE",Positive
"this game is stressful but... fun, i like it!",Positive
"Really love this game, but its so buggy and poorly optimised, its really frustrating.I run an Alienware Area51mR2 with an I9 and 2080, and it crunches to 40fps, dropping to 20fps in places..i often get crashes to desktop and buggy faults during the game, which infuriating.so many good upgrades from Cities 1 , but its just so poorly put together i cant enjoy it for long",Negative
Product received for freeThe game is so bad.  Its good,Positive
Worthy of being the top rated game here,Positive
I have spent the last 4 hours trying to get to get the Rockstar launcher working. It refuses to let me create an account that is required to play the game. So dumb and a waste of my afternoon.,Negative
I sailed the wock poland,Negative
"I have spent many hours on this game as I a huge fan, but this is the first game I have had to turn on, shut down, turn on shut down several times just to play then when i am finally able to play the constant lag and sometimes the game either shuts off then when i turn it back on i have to repeat the whole process again. Oh yeah I play with a controller cause using the keyboard and mouse hurts my hands and that whole turning off process is part of that too. As it stands this will be the last Battlefield game I buy. This game is broke still! No paying customer or fan should have to deal with the many technical issues ever!",Negative
I now understand why people spend hours playing this game. It's fun to play with friends.,Positive
Playable crack,Positive
"This game makes me think I don't like 4X games, which I'm pretty sure isn't true. It has some fun ideas, but the best thing about this game is that it inspired other really good 4X games. Hey actually, I had a great idea. Play those.This game is pretty boring in my experience and it doesn't really communicate how to play it very well. I'm sure any of you brilliant people could figure it out but I don't see the point in playing this type of a game when it won't help you try to understand all it's systems. If you like it though I hope you enjoy it, and definitely play with your friends. When I did enjoy it, I was in a phone call with the homies.",Negative
Product refundedThe Game has janky physics and terrible cut scenes. player model and npc models faces have random seizures when talking or even sitting still. I was willing to look past it but it ruined the experience. How has play-station screwed up 3 ports???,Negative
Product received for freeno sex,Negative
Pain,Negative
18 hours in and I'm still in the tutorial area trying to find every last thing.,Positive
How do I turn off the scrolling Shop Now that was added to my start up screen?,Negative
"It has good story line and wholesome in a way. The difficulty is moderate and I'll write it again, it is wholesome.",Positive
They removed LAN play after 8 years. Seriously?!,Negative
Garbage,Negative
Boring and samey Fallout gameplay but now in a half-baked MMO world. It's still riddled with bugs too.,Negative
trash,Negative
bad game,Negative
"I bought this on sale, and was shocked to see the amount of glitches in this game. You'll turn down a street and see half-rendered polygons walking around. After a few moments they materialize and then you see every person on the street is the exact same NPC lol. Cars randomly explode in the sky, you turn around and all-of-a-sudden 50 people spawn screaming and running, people make the ""T"" shape and hover around. I thought these were problems with the game on release, not after the most recent patching. That and the loading screens make it hard to play.",Negative
"Addictive game, lots of fun",Positive
"Great game story line is almost perfect and fun. Completed in about 66hr, or less i did a lot of random stuff like online not just the missions back to back. Honestly you could probably knock this game out in 2 or 3 weekends if you wanted to. I don't have any extra stuff just the game the over all game play was great the bots weren't to hard to kill. Police were fairly balanced if you wanted to fight them you could but it was just as easy to hide. But my main complaint would be the ending of the story mode i feel like they could have made it more harder to kill the leaders or at least made killing them each having a separate mission. They Likely could have gotten an extra 20 minutes or so out of it I just feel like with the base game theirs some thing that should have been added. It just feels like you were riled up for a bit finish with 3 big fights and it didn't happen. But I would still play and don't regret buying.",Positive
Good,Positive
Must have for real football fans!!!,Positive
No.,Negative
I didn't play or 4 hours It wont play,Negative
"When it updated, it freakin' deleted all my progress in Mamba moment... And it was tough getting three stars for each event.. like whyyyyy!! whyyy 2k whyy!",Negative
can't sex the shark,Negative
Doesn't let you switch to steam. If you already bought this on bnet then you have no choice to download there client. What a disappointment..,Negative
lovely game,Positive
"It looks the same as FM22, save for a few insignificant bells and whistles, but is more frustrating to play because morale and player interactions are completely broken. Don't purchase new versions, just play the old ones -- its probably a better experience.",Negative
Fun and simple.  But also a bit more than you might expect.,Positive
Yay,Positive
Product refundedwas so excited to finally try GTA online but the toxicity just isn't for me....,Negative
Best 1,Positive
goty,Positive
bad game,Negative
"The game is still broken for many people. I cannot even launch the game without it crashing. I have not played a single second, and have spent more than a few hours just trying to get it to launch. CDPR is a joke, and their customer support is nonexistent. Maybe its worth a shot if you can play it, but if its crashing at launch, save yourself the time and effort and just get a refund.",Negative
nice,Positive
Product received for freenice game,Positive
One of the best games ever made,Positive
"Product received for freeIDK, Me and my friend's play pubg a lot lately, but always getting banned after lately update, we never cheat or do something illegal, hope it'll be fixed, or we try another game that more fun.",Negative
"I too enjoy the art of fishcraft.I mean not much to say, the videos show you what you're in for. It has a decent story and relaxed gameplay. Get it for the chill factor.",Positive
"Gmod is Roblox for Adults, filled with the cretins of society.",Negative
"Still broken as heck.I played this on day one, and it was every bit the mess everyone thought it was. After 2.0 they claimed it was better, but I still get model bugs in the main story, T-posing peds everywhere in the ""welcome to night city"" cinematic, and a lot of various issues. If you're waiting for the game to be fixed, keep waiting.",Negative
great game,Positive
Amazing,Positive
SO FAR ITS NOT SO BAD,Positive
Meh is really all I can think of regarding this game. Utterly boring,Negative
"Game is mudded. One unhappy player and winning is impossible, the season is gone.",Negative
"Early Access ReviewIt's a garbage game,that forces you to consent and steal your private information after an update!!",Negative
it's ok,Positive
"I feel like there's no reason buying this game if it's free on mobile, i sincerely am still wondering if i should refund only for this reason alone, this game is good i can't lie, but if i can have it for free there's no reason to buy.worse yet i find no differences at the moment.",Negative
BUY IT NOW,Positive
Ubisoft connect suck enormous gorilla d1ck.game is good though.,Negative
Immediately hooked! My wife and I like to call this game cthushi.,Positive
best football game now,Positive
woof woof,Negative
gandhi,Positive
"Was fun for the first couple of hours but man, it's just a loop.Gameplay once you hit the loop is boring, dull and just not fun.Yes, I can walk around and look at all the big cities, nice graphics and busy towns, but man, its empty of content, easy to cheese, no real feeling of progression and just down right dull.It's like the original Pong game, fun at first until you realise its just the same thing over and over, but hey, look at the graphics!  lol",Negative
Product received for freeEarly Access Reviewfun to play with friends,Positive
"incredibly sub-par, repetitive fetch quests and terrible dialogue and voice acting. Not necessarily bad, but it feels worse - underwhelming.",Negative
Not enough work has gone into this years version. Seems like SI have got lazy and little to no improvements year on year.Lots of issues raised on the forums but no real progress made.,Negative
"Love AC games, this is defo in my top 3",Positive
hard,Negative
after 14 hours i lose all my progress with a glitch a hate this game,Negative
Good stuff here,Positive
gave me herpes and non living thoughts,Negative
Come back in 12 months months.,Negative
good game,Positive
Early Access Reviewit gets way to polictical now and everybody is easily offended,Negative
Please describe what you liked or disliked about this game and whether you recommend it to others.Please remember to be polite and follow the Rules and Guidelines.,Negative
I've been playing on the Touch version for most of last year so this was an update I really needed.,Positive
"One of the best Assassin's Creed games in my opinion. However, it should have been called Viking's Creed or something different because you're not an assassin, you're a brutal murderer in this game.This game is so rich with content that it is overwhelming. I didn't think it was possible to make a game too good, but this is what has happened here.The combat is superb in my opinion, although at first, I didn't like it. I couldn't get used to not being able to hold down the right trigger for a built-up power swing, but instead gaining access to skills. I'm used to this now, and I really do enjoy it. The gore and bloody finishing scenes with dismemberment are perfect for me - I just wish there were more of them because they are satisfying.The scenery is very pleasing to the eye. The environments created in this game, combined with the weather is beautiful. Some of snowy areas in this game seem to really capture that cold, dark, frosty look.I will never be able to fully complete this game. It would take a very long time indeed. I always find myself coming back to it now and then to progress a little further. It's a flawed gem I think. Credit to the devs working on this, though. It must have taken a lot of effort.",Positive
really good game as always,Positive
"I will play this game once the AI works and starts shooting at me. No, I don't want to fix it with a mod.",Negative
gudshi,Positive
grinder,Positive
this game sucks,Negative
tedious combat,Negative
"Too hard, Too expensive, Not fun",Negative
the amount of errors you accure is insane,Negative
"In the era of shovelware and unfinished games, this game shines like a bright beacon of hope. It is beautiful, fun, there's lots to do and it just keeps giving and giving. You can clearly see that it was made with love and crafted to perfection. Definitely recommended!",Positive
"Hearing about GTA6 I reloaded GTA5. Man, the controls for first person are trash. I remember now why I didn't play this on PC. Fingers crossed GTA6 is better.",Negative
"this is medieval life simulator, if you want play AC series skip this game",Positive
Product received for freeVERY GOOD GAME,Positive
it allowed me to see my friends,Positive
best of ever.,Positive
boring,Negative
the engine for all of these games are always unplayable. either its long load times or constantly closing the game,Negative
TRASH GAME,Negative
"This game feels so repetitive after first 5 chapters, I barely finished 6th chapter and almost died of boredom.Definetly not worth playing even if you can get it on a sale.Game isgoli kurac!",Negative
I like it but it corrupt my saves to often,Negative
Gary mod,Positive
i think the game is Ok,Positive
hahahahahahahahahahhahahahahahahahahahah fish,Negative
Great for Coop!!,Positive
no,Negative
"If you want a viking rpg, then this might be something for you, but it is nothing like the other games from the AC franchise.Besides that, the map is too big, and you will have to spend a lot of time to experience what the game has to offer",Negative
By patch 5 i still am facing major bugs that make the game almost unplayable. I want to love it but cant. i know am probably in the minority of players but oh well.,Negative
pretty chill,Positive
"These developers should have their studio burned down. This game is a trashy waste of time. They just took the worst combat feature in any Soulslike, the parry, and made that the main mechanic that combat revolves around.As someone who has never parried ANY enemy is ANY Soulslike because the timing is absolute trash is every game it's featured it, well, it remains true here. All these idiots who say ""jUsT PaRrY BeFoRe yOu GeT hIt"" are too stupid to understand that input lag and slowed reaction time due to age make that IMPOSSIBLE.Hogwarts Legacy has a better, more responsive dodge than ANY Soulslike could ever wish to have.Devs really are too stupid to know how to make games anymore. You're supposed to take the BEST from other games, not the worst. I'm not going to spend hours on ONE boss just to learn how to parry its r e tt a r d e d attacks.",Negative
Great game with a lot of future potential. On my second playthrough and I  don't do multiple playthroughs very often! lots to see and do.,Positive
goods for the sale!,Positive
"why i cant play with my friends, any idea how to play with my friends. I cant press the R2 button while my Ea account is connected already. Please help me, i really need help right now. Thanks",Positive
PUBG BAD,Positive
to much randomness,Negative
"Unfortunately there are no graphics settings leading to excess screen tearing. There's just no option to turn on vertical sync.The game is very blurry and there's no option to turn off blur, bloom, fog, chromatic aberration etc.In short the game requires accessibility features.Searched internet for third party fix but there's no mods or fixes.Shame.",Negative
"I HAVE AN EMO HOME, AND I MARRIED MY COUSIN ODKA.",Positive
fun game,Positive
This game is ATROCIOUS! The game is filled to the brim with inconsistencies from Portal 1. why is glados so angular now?! What is with all the panels moving? and why are there no Glowing Balls?,Negative
Early Access ReviewDegenerates. Degenerates everywhere.,Negative
"full of cheaters online, exorbitant time or price investment to be competitive and on top of that, its the older generation console release.  because my pc clearly cannot handle the complexity of the newer generation engine and gameplay...even the playlist is worse this year",Negative
One of the best games of all time. Gets you to think and laugh. It has a good plot and the co-op is dope.,Positive
Slog to complete and i fell asleep,Negative
Game is fun when it works but its buggy as hell. 3 years later and cant finish story line due to the phone bugging out.,Negative
Excellent survival-craft game with great co-op. Has difficulty options to make it as relaxing or intense as you want.,Positive
Improve the anti cheat pls,Negative
This is such a fun game. It's very immersive. With tons to do in the campaign. And there is so much detail in this game,Positive
NICE BUT P2W,Positive
im a cowboy,Positive
"Such robots, much dinos.",Positive
"My favorite game of all time, unfortunately i had unrestricted internet access and ruined my childhood",Negative
Loved it on PS4 and now loving it even more on PC.,Positive
Product received for freeGot vac banned for no reason. It says I was hacking but I don't. Maybe bc I am too good but idk,Negative
"PUBG used to be amazing, I think the developers forgot that some of us actually paid for this game back in the day.There are so many cheaters right now its un-playable. The devs swear they are trying to fix it, they put out weekly updates saying 140,000 accounts banned this ""week"" with an average playerbase of 400,000. They allow cheaters to make new accounts so they can spend more money on skins. Thats all this game is now, an ATM for the devs.",Negative
good game fish,Positive
cool,Positive
rat game,Negative
"Have to give a negative review because I cant give a middling. The difficulty gets to be frustrating, losing half a health bar after two attacks on the explorer mode is too much. If I choose story I don't want combat.  I should have seen this coming from DOS2. The story and characters seem good so far but I may never know because I am stuck.",Negative
Great game,Positive
"I played 60 hours. I played on the 'easiest' difficulty. I was drawn to this game by the very unique and beautiful art style, fantastic music, and great storytelling. I was aware this game has a reputation for being difficult. I even installed various mods to make it easier because I wanted a casual experience.It wasn't too bad at first, but turns out the game gets 'more difficult' as you progress by turning up the terrible game mechanics to an 11. Enemies start dodging ALL of your attacks, oneshotting or two shotting your entire party with critical hits back to back, the enemy always out speeds you later in the game and always goes first. Traditional elements of strategy you may see in other turn based rpgs becomes less and less important as you progress.It feels absolutely helpless and there's seriously no fun in throwing your highest level heroes at certain dungeons over and over again and having them all die. You spent 15 hours and went through 10 dungeons to level up a fresh party to go after a higher level dungeon? LOL here comes some terrible rng to throw away all of your efforts. Hard games are fun when they feel fair, and you feel rewarded for overcoming the challenge. There's none of that here. Only a smidgen of relief when you finally get lucky and don't get screwed over by unlucky 'randomness'.Final straw for me was losing an entire party of max level heroes, to back to back crits from a basic mob enemy. The basic baddie put my entire team on 'deaths door' in one hit, the turn order reset and he immediately took another turn and proceeded to wipe my party.",Negative
gud game,Positive
this would be a good game if it didnt crash every 20 minutes,Negative
Product received for freeSome Girl bought it for me. its Meh,Negative
"DO NOT BUY! CAVEAT EMPTOR! DO NOT BUY! 2.0 Broke the game! They broke it! It is permanently UNPLAYABLE. I bought this game a year ago and have almost 250 hours in it! The game is no longer the game I purchased! They stripped out all of the RPG elements of the game and made it BAD! FALLOUT 76 LEVELS OF CATASTROPHIC BAD! EVERYONE should ask for their money back. EVERYONE! I can't believe this! The nerve! The outrage! Who the hell do you think you are CDPR? Where do you get off thinking you can just change all of the coding and assets of the game I purchased! You have stolen from every person that bought this game! HOW DARE YOU! This ""overhaul"" is worse than anything I could have imagined! GIVE ME BACK MY MONEY",Negative
"The game looks monotonous, boring, outdated, but the biggest disadvantage is the price.",Negative
Good game but doesnt work with windows 11 or my new monitor.,Negative
easy game,Positive
"This is a worst 2k I ever played in my life. I just suddenly crash and this is time, I lost my money. To be honest, do not buy this game. It's not worst it. if you have a playstation or xbox, buy the console version. It's way better than this mf.",Negative
Busss,Positive
best game everrrrrrrr,Positive
Its better now,Positive
Bread,Positive
very boring,Negative
Yeah its pretty damn good if you search for a farming game with some extras,Positive
This game was fantastic until Act III and the story.  The story arc in Act III completely ruined the game for me and I couldn't finish because it literally took the fun out of it.  You can literally compare these decisions like voting for the last 2 presidential elections.   You have the option between a douche and a poop sandwich.,Negative
A joke of a game. Absolutely rubbish AI.,Negative
worst game ever save ur money,Negative
Endless Fun!,Positive
Not my kind of game,Negative
Trash of a game keeps crashing on park games because of the update. can someone tell me how to fix it?,Negative
"Not really that fun. I got it as a gift from a friend, and I haven't played it since.",Negative
Much rather rub my balls on a cactus then play against bridge camping rats on this dog game,Negative
Valve breaking yet another good game.,Negative
good,Positive
Redownloaded this because fortnite is ass again.,Positive
Early Access Reviewrun away before the furrys get you,Negative
made me cry,Negative
men shotting their stuff at me,Positive
"nerdy as all hell, but its lowkey fire cuz im a nerd",Positive
world dominant secks,Positive
"The story isn't engaging, it's a boring grind.",Negative
Product received for freeExcellent time waster,Positive
Refund can not play the game at all,Negative
LOVE THE GAME.,Positive
keeps my sanity in check,Positive
Amazing game.....i love playing it.,Positive
"if you have a good pc that can actually run it, have fun trying to play dark rp servers, they take ages to actually download every bloody addon",Negative
where poral 3,Negative
egregious business model. overall it is not worth recommending,Negative
cool game,Positive
"Poor efficient, poor graphics, optimalization doesn't exists. All builds looks the same.",Negative
fun,Positive
Needs another 6-12 months to fix some frustrating bugs and deliver necessary features.,Negative
Masterpiece. Highly immersive. Fantastic graphics and VA. Steep learning curve but they make an effort to spoon feed the tutorials.,Positive
Good story line!,Positive
I have played all the previous Civ games and loved them all.  Civ 6 is not like the other games. I just cannot figure it out. It is too different from all the other Civ games before. If you played Civ before and liked it do not get this game. If you never played Civ before perhaps you will like it.This was a waste of my money to purchase. I am extremely disappointed with the game. Not what I expected.,Negative
still a lot of bugs maps are terrible cant do anything without getting shot in 6 directions  vehicles spawn to quick getting really annoying but if u want a game that's obj based that no one plays the obj this game is for u welcome to rage quit the game,Negative
bad,Negative
"Fun exploration, pretty art and restaurant management, it's great. Some of the tasks get repetitive, but usually a new mechanic is unlocked before it gets annoying.",Positive
trash,Negative
really nice game!!,Positive
The game will not run. It locks up before you even get to the main menu screen. And you won't be given a refund so buyer beware.,Negative
cant wait for the third one!,Positive
Where are Vampires tho?,Positive
"I'm addicted to this game, I  can't wait for GTA 6!",Positive
"Product refundedEhhhhh, trash. Next.",Negative
I would love to enjoy this game if that infinite loading error wasnt so horrendous.,Negative
bomb fps go brrrrrrrrrrrr surf surf,Positive
"After some much needed changes introduced in season 2, this is a great game to play. excited to see what the dev team brings to us in the future.  i will definitely keep playing",Positive
Not Great.,Negative
best,Positive
"It's pretty good at first, but overall it's just kinda boring. It doesn't really challenge you in any way except for the boss fights. It gets very repetitive exploring the same areas to reach whatever minor plot point you're at in the story. It's sorta structured like an rpg, but there's barely anything to really work towards that isn't directly tied to the plot. Restaurant management is shallow, exploration is shallow, my desire to play this game anymore is shallow.",Negative
The Game is Great. It may have a few flaws but overall its only the beginning and i know it is going to only get better.,Positive
Hands down best game i've ever played in a very long time.,Positive
nuclear war.,Positive
I didn't play this game in its early release -- maybe why I love it so much,Positive
makes me feel dizzy,Negative
"Although this game is highly addictive, I decided to give it a thumbs down as it does not give me an engaging story nor any good life lessonsGames should not just be addictive, but also meaningful",Negative
"Great game. Thumbs down for the ""current gen"" console advantages in GTA Online like HWS upgrades. What a shame. And the ridiculous amount of hackers... you can't be serious tolerating that for years.",Negative
61h grinding the farm,Positive
Ryssar,Negative
"When it came out, the game definitely wasn't what was promised, but I honestly liked it. It was a buggy mess but still kept me interested. Now it's fantastic. There are still some bugs, but nothing big in my experience. The performance on launch day and now are like day and night. Nice recovery CDPR!",Positive
Outstanding Souls-like!  One of the best games of 2023!,Positive
Early Access ReviewIts ight,Positive
i cant beat the flower hes too hard,Negative
This game is excellent but its way too buggy when you reach the 3rd act,Negative
"Game crashes my Computer after 30minutes of play time. Looked online for help, its been happening to hundreds of people. We need a fix for this. Would be a great game if not for this issue hope they fix it soon",Negative
This game has no right being as addictive as it is.,Positive
"after 900 hours and 9 years, i don't recommend this game.",Negative
Dont play as india..,Positive
"bad game if you compare from CS1, every feature they had in the first are not present, simulation don't work as intended, marketing team just wanted to sell the game without adressing gameplay problem. CO even said, if you don't like the simulation than the game is not for you. than this game is clearly not for me. It's a shame I paid full price for a unfinished game...",Negative
P body is hot,Positive
Product received for freeWhat matters is if you have fun. For me its a great game!,Positive
Unplayable at the moment. Wait for a patch.. Conversations with players inevitably turn into a full squad meltdown.,Negative
"Awesome story, awesome world, ruined by awful optimization.",Negative
"Fun Story, GlaDos and Wheatley are funny, game makes you feel smart after you beat it.",Positive
Hours of entertainment building your own city designs.,Positive
LET ME MARRY WIZARD AND DWARF,Negative
"Great game, just buy it.",Positive
"Please add 20000 more hp and 300-400 dmg to last boss, in current implementation completly unplayable p of lies",Negative
its fun,Positive
Tedious and boring.  Very politically correct.  Put your WOKE hat on to play this one.  Lost due to CULTURE.  I will probably never play this game again.  Civ II was lots of fun.  This is not.,Negative
"Game is buggy, Feels like its pay to win, Game modes are bland and feel like copies of older 2k's but with less soul. I personally experienced crashes when trying to in parks and recs.",Negative
its tittie fun,Positive
"IIt's a good game, but it is weaker than the previous one in practically everything, also the amount of bugs and rough edges in this game is insane, There is not a 15 minutes in this game I would not get some bug or random crash. Buy only heavily discounted.",Negative
"Horizon Zero Dawn is a disappointing and frustrating game that fails to deliver on its promises of a rich and immersive open-world experience. The game suffers from a bland and boring story, repetitive and tedious gameplay that ruin the enjoyment of the game.  It is a game that is not worth playing.",Negative
modders are nice to me because i ask them,Positive
"Game crashes every once in awhile. That isn't that bad on its own, but the game takes so long to tell its story, introduce its characters, and have you run place to place across a vast empty land, that any time it does crash just feels like a fantastic opportunity to put the game down.I have had a lukewarm reception to this game, and it's been... hard to justify playing it when I could get equal entertainment from free youtube videos. It's just not good enough for my standards.",Negative
just because of the first video they have on the store page tbh.,Negative
Economies are flawed. Cargos are teleported. Workers magically appears even without people commuting. Sky scraper office building only hosts less than hundred workers.Feels very fake for me who plays for the simulation. Pretty sure it also feels incomplete for city painters with its limited building variety.Don't buy it.,Negative
fun game ruined by couple terrible boss fights and even worse controls,Negative
wwww,Positive
bad.,Negative
This company is basically stealing. After paying for the hall of fame pass the game will not let anyone play 3v3 or 2v2 matches. There is a game breaking glitch that is causing the game to crash when the match starts up.  This has been 3 days and as you know everyday counts on these passes.  Do not be like me and buy this game or the passes.,Negative
I love how this game has a completely different style than the first one but is also the exact same both at the same time.,Positive
Product refundedCrashing problem.,Negative
I hate the monster crit rate. Nothing should be critting 6 times in a row. Stupid skeleton,Negative
mental yes,Positive
Pretty boring,Negative
"I cannot recommend this game at the moment. It worked a month ago, and now it crashes on loading.",Negative
terrible for new players and no real help on it couse you play players who know what to do and its pvp with no fun in playing anything else,Negative
gg,Positive
Absolutely worth the cheap price and tells great story with funny dialogue. Definitely recommended!,Positive
its good,Positive
alr just kinda worse than i expected,Negative
Meh..,Negative
"Product refundedVery boring and lazy cashgrab, refunded after 86 minutes. Origins was 10x better than this. Do not buy this game.",Negative
Yes,Positive
Product received for freesome time game is hang,Positive
"Pretty boring. Just another by-the-numbers, ubisoft-style, massive, shallow open world game.",Negative
game nhu cl loi len loi,Negative
GOOD ASS GAME,Positive
doesn't support 32x9,Negative
System won't let me play,Negative
game mechanic is easy to learn and have multiple mini-story telling over the main quest. And teach you about the sea and various kinds of marine life.,Positive
No,Negative
"Product refundedRuns like absolute crap. Not exaggerating.Ugly. Things that shouldn't be plastic look like plastic. Which is the last thing you want in a post-apocalyptic.Pushes ""The Message"". Microtransactions.Soulless. Directionless.Convoluted character creation.Trope of non-interactable objects baked into the map.Yeah I'm making this review because it keeps popping up in my recommended despite me already getting a refund. This god-awful game needs to die. I'd rather play starfield than this, which is saying something.",Negative
This game sucks.......... worser than 2k23,Negative
"Amazing game, story rich, good port. Now w8ing for the horizon west show up on steam.",Positive
big blue fish girl broke my heart,Negative
miles,Positive
Game runs terrible and keeps crashing. Also froze my computer multiple times. I HIGHLY don't recommend this game to anybody,Negative
"Product received for freeplayed it a long time ago, came back, playing again. big machines. big stonks. cant wait for them to release Forbidden West on the platform that basically made this franchise popular.",Positive
never with lily,Negative
Dragon age origins but modern. Very good!,Positive
i am 50 hours in and still cannot find a reason to like this game,Negative
"The game is essentially Harvest Moon with some mild tweaks. Featuring very general relationship building, farming, mining, animal care, and more, this game has many levels that will keep one busy. The nature of the game is very grind-heavy though, so be aware.",Positive
nice 5 stars,Positive
i am giving it a thumbs down until I actually get play it. The free download was too short. got it downloaded and didn't get to play it.,Negative
trash,Negative
Conquering takes too long,Negative
how disappointing. maybe my mind will change in a few months if some good fixes come in,Negative
one of the games surely,Positive
REALLY  relaxing must play is stressed or need a break from life,Positive
Good game.,Positive
"The game was great until the 2.0 patch which completely ruined and re modified the character builds.    I have over 300 hours of game play with my two characters built perfectly.  Then, when patch 2.0 hit, it completely reset them and changed everything about them.  This is a single player game, not an mmo.  Resetting people's characters for no damn reason is not a good way to keep players playing when they have hundreds of hours invested in their character that were built a certain way and learned how to play the game that way for hundred of hours.   I understand patching can be a good thing for bugs, AI, NPC's, environmental etc, but resetting people's character builds is f'ed up.",Negative
Great game,Positive
awful gameplay been buying the games since 2020 this is the worst one,Negative
"DO NOT BUY DIVISION 2 ON STEAM. It has bugs concerning multiplayer mode that are NOT ADVERTISED. The multiplayer mode opens up sometime AFTER steam's 2 hour return policy time deadline, by the time you discover the bug you've played more than 2 hours.",Negative
worked ones then the game wouldnt load just a black screan and loading circle i have seen posts of the same thing happening to other people i hope this gets resolved as this is one of my favorate game,Negative
what are you doing looking at the negative reviews go buy the game,Negative
game good,Positive
It's worth every hardship you'll face.,Positive
game do good game ting,Positive
"LFG for this game is trash, raids are overly complicated for no reason, raid loot has wayyy too low of a drop chance for how difficult the raids can be, loot pool is garbage, only stats that matter are red stats its like armor doesnt even exist and if your in a group i pray for your armor, this is honestly a super disappointing game for how much i used to like it. Division 1 isnt even this bad and i barely liked that game dont waste your money on this trash, buy a different game.",Negative
gg,Positive
Don't know why or what happened but unable to play the game as it won't launch,Negative
"Literally cannot be played.""Out of memory"" crash almost every time when I launch the game. Rockstar says""Setting windows to automatically manage virtual memory may resolve the cause of these crashes.""It does not solve the problem. Cannot find a solution, this is annoying and ridiculous for a nearly 5 years old game.And if it wasn't enough, there's the Rockstar Launcher, full of Chinese and Russian hackers who stole Rockstar accounts, read about it on different forums. For example, I received a Chinese email about password reset.Anyway, I will try to refund for my mental health.",Negative
"The game is truly impressive. The terrain tool stands out with its excellence, and I am particularly enamored by the captivating visuals of the game. However, it's worth noting that there are some performance issues and occasional crashes. I'm eagerly anticipating the addition of mods, which I believe will enhance the overall gaming experience.",Positive
"Quests are boring. The main story isn't that interesting. Man, I feel like this game is huge, but with very little to offer. I feel like it's missing that magic that Skyrim has.",Negative
Definitely alot better than 2 years ago,Positive
Uroboro's eye goes brrrr,Positive
Brings new meaning to the words RPG,Positive
"The game is really addicting at first when you collect all the cool characters and see all the cool maps. It almost feels exploitive how it really activates your dopamine. Unfortunately, after you collect most of the stuff, the game feels like the biggest waste of time to play imaginable. It just stops being fun and the game wants you to play for too long to unlock the remaining things.The soundtrack is amazing though, so I'd honestly would rather recommend you to only buy the soundtrack at most.",Negative
need people in park,Positive
Same old rubbish with different coloured lipstick on. Oh and injuries are an absolute hiss take. Worse than i can ever remember before. Won't be giving SI any more of my money. This just stinks more and more of rip-off every year.,Negative
